student_id,subject,question,correct
ali,tarix,1,1
ali,tarix,2,1
ali,tarix,3,1
ali,tarix,4,0
ali,tarix,5,1
ali,tarix,6,0
ali,tarix,7,1
ali,tarix,8,1
ali,tarix,9,0
ali,tarix,10,1
ali,tarix,11,0
ali,tarix,12,1
ali,tarix,13,1
ali,tarix,14,0
ali,tarix,15,1
ali,tarix,16,0
ali,tarix,17,1
ali,tarix,18,1
ali,tarix,19,0
ali,tarix,20,1
ali,tarix,21,1
ali,tarix,22,0
ali,tarix,23,1
ali,tarix,24,0
ali,tarix,25,1
ali,tarix,26,1
ali,tarix,27,0
ali,tarix,28,1
ali,tarix,29,0
ali,tarix,30,1
ali,tarix,31,1
ali,tarix,32,0
ali,tarix,33,1
ali,tarix,34,1
ali,tarix,35,0
ali,tarix,36,1
ali,tarix,37,0
ali,tarix,38,1
ali,tarix,39,1
ali,tarix,40,0
ali,tarix,41,1
ali,tarix,42,1
ali,tarix,43,0
ali,tarix,44,1
ali,tarix,45,1
ali,biologiya,1,1
ali,biologiya,2,0
ali,biologiya,3,1
ali,biologiya,4,1
ali,biologiya,5,0
ali,biologiya,6,1
ali,biologiya,7,1
ali,biologiya,8,0
ali,biologiya,9,1
ali,biologiya,10,1
ali,biologiya,11,0
ali,biologiya,12,1
ali,biologiya,13,1
ali,biologiya,14,0
ali,biologiya,15,1
ali,biologiya,16,0
ali,biologiya,17,1
ali,biologiya,18,1
ali,biologiya,19,0
ali,biologiya,20,1
ali,biologiya,21,0
ali,biologiya,22,1
ali,biologiya,23,1
ali,biologiya,24,0
ali,biologiya,25,1
ali,biologiya,26,0
ali,biologiya,27,1
ali,biologiya,28,1
ali,biologiya,29,0
ali,biologiya,30,1
ali,biologiya,31,1
ali,biologiya,32,0
ali,biologiya,33,1
ali,biologiya,34,0
ali,biologiya,35,1
ali,biologiya,36,1
ali,biologiya,37,0
ali,biologiya,38,1
ali,biologiya,39,1
ali,biologiya,40,0
ali,biologiya,41,1
ali,biologiya,42,0
ali,biologiya,43,1
ali,biologiya,44,1
ali,biologiya,45,0
ali,kimyo,1,0
ali,kimyo,2,1
ali,kimyo,3,1
ali,kimyo,4,0
ali,kimyo,5,1
ali,kimyo,6,1
ali,kimyo,7,0
ali,kimyo,8,1
ali,kimyo,9,1
ali,kimyo,10,0
ali,kimyo,11,1
ali,kimyo,12,1
ali,kimyo,13,0
ali,kimyo,14,1
ali,kimyo,15,1
ali,kimyo,16,0
ali,kimyo,17,1
ali,kimyo,18,1
ali,kimyo,19,0
ali,kimyo,20,1
ali,kimyo,21,1
ali,kimyo,22,0
ali,kimyo,23,1
ali,kimyo,24,1
ali,kimyo,25,0
ali,kimyo,26,1
ali,kimyo,27,1
ali,kimyo,28,0
ali,kimyo,29,1
ali,kimyo,30,1
ali,kimyo,31,0
ali,kimyo,32,1
ali,kimyo,33,1
ali,kimyo,34,0
ali,kimyo,35,1
ali,kimyo,36,1
ali,kimyo,37,0
ali,kimyo,38,1
ali,kimyo,39,1
ali,kimyo,40,0
ali,kimyo,41,1
ali,kimyo,42,1
ali,kimyo,43,0
ali,kimyo,44,1
ali,kimyo,45,1
